Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.09,2.6,2.4,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Himachal Pradesh,Shimla,North,India,17-12-2010,19-12-2010,1107.408,12,31.73
Medium,0.08,124.49,51.94,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Madhya Pradesh,Rewa,West,India,18-12-2010,19-12-2010,-500.38,56,6831.37
Medium,0.08,124.49,51.94,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Tamil Nadu,Chidambaram,South,India,18-12-2010,19-12-2010,-250.19,14,1707.84
Low,0.1,39.98,4,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Kerala,Trivandrum,South,India,18-12-2010,22-12-2010,360.24,21,772.56
Critical,0.04,15.98,4,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Andhra Pradesh,Bapatla,South,India,18-12-2010,19-12-2010,-19.208,4,64.59
High,0.06,22.84,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Andhra Pradesh,Bapatla,South,India,18-12-2010,20-12-2010,7.44,20,461.94
Low,0.09,30.98,6.5,Express Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,West Bengal,Ghatal,East,India,18-12-2010,22-12-2010,-55.97,7,204.34
High,0.09,40.98,6.5,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Shahdol,West,India,19-12-2010,21-12-2010,-50.245,19,746.91
Critical,0.02,1360.14,14.7,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Ghaziabad,North,India,20-12-2010,22-12-2010,3042.18,6,8637.44
High,0.02,9.06,9.86,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Ghaziabad,North,India,20-12-2010,22-12-2010,-31.755,6,59.95
High,0.03,15.28,1.99,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Haryana,Sonipat,North,India,21-12-2010,23-12-2010,-266.686,19,290.98
High,0.09,1.76,0.7,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Haryana,Sonipat,North,India,21-12-2010,24-12-2010,-12.278,13,21.77
High,0.01,7.1,6.05,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Kerala,Kasaragod,South,India,24-12-2010,25-12-2010,-39.18625,18,133.19
High,0.05,18.97,9.03,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Kerala,Kasaragod,South,India,24-12-2010,25-12-2010,-1.89,5,97.33
High,0.08,3.69,2.5,Regular Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,Uttar Pradesh,Gorakhpur,North,India,25-12-2010,30-12-2010,-139.076,9,31.98
High,0.05,5.98,5.46,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Theni,South,India,27-12-2010,27-12-2010,-31.885,17,104.95
Not Specified,0.01,65.99,3.99,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Tamil Nadu,Tirunelveli,South,India,27-12-2010,28-12-2010,-95.2105,3,166.59
Critical,0.03,4.98,4.62,Express Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Assam,Kokrajhar,East,India,28-12-2010,29-12-2010,-30.45,8,44.24
High,0.08,5.84,1,Express Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,Chhattisgarh,Kanker,North,India,29-12-2010,03-01-2011,731.922,11,61.39
Low,0.0001,205.99,8.99,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Chhattisgarh,Kanker,North,India,29-12-2010,02-01-2011,186.558,13,2435.52
High,0.01,3.58,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Orissa,Sambalpur,East,India,01-01-2011,05-01-2011,-60.34,11,42.37
Low,0.09,41.32,8.66,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Medium Box,Orissa,Sambalpur,East,India,01-01-2011,03-01-2011,120.318,3,121.93
Low,0.02,145.45,17.85,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Orissa,Sambalpur,East,India,01-01-2011,05-01-2011,-125.09,7,1012.07
Medium,0.09,204.1,13.99,Express Air,Personel Usage,Canned Foods,Sliced Pineapple,Medium Box,Andhra Pradesh,Guntur,South,India,01-01-2011,03-01-2011,-71.176,2,397.7
Critical,0.07,20.99,4.81,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Medium Box,Bihar,Jhanjharpur,North,India,02-01-2011,03-01-2011,1292.598,11,198.19
High,0.02,6.48,6.35,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Rae Bareli,North,India,03-01-2011,05-01-2011,-1.722,11,73.57
High,0.06,5.84,1,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Rae Bareli,North,India,03-01-2011,04-01-2011,-160.8684,6,33.53
High,0.04,24.98,8.79,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Rae Bareli,North,India,03-01-2011,03-01-2011,51.306,10,246.75
High,0.06,5.28,3.96,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Wrap Bag,Bihar,Madhubani,North,India,06-01-2011,07-01-2011,-57.8832,9,46.58
Low,0.01,13.99,7.51,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Bihar,Araria,North,India,08-01-2011,08-01-2011,-6.008916,8,115.94
Low,0.05,599.99,24.49,Regular Air,Hotels / Hospitals,Canned Foods,Wild Berry,Large Box,Uttar Pradesh,Baghpat,North,India,09-01-2011,13-01-2011,5049.8892,12,7318.68
Low,0.05,20.97,6.5,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Rajasthan,Nagaur,West,India,10-01-2011,10-01-2011,-211.8788,10,206.82
High,0.1,6.68,6.92,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Karnataka,Bellary,South,India,10-01-2011,12-01-2011,-58.28,3,19.77
High,0.0001,12.97,1.49,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,11-01-2011,13-01-2011,58.4664,27,360.7
High,0.01,180.98,55.24,Delivery Truck,Stand Alone Restaurants,Processed Meat,Jelly Fish,Jumbo Drum,Tamil Nadu,Salem,South,India,11-01-2011,13-01-2011,45.3948,3,590.2
Medium,0.08,29.18,8.55,Express Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Box,Tamil Nadu,Salem,South,India,11-01-2011,12-01-2011,224.9193,12,325.97
High,0.08,68.81,60,Delivery Truck,Restaurant Chain,Processed Meat,Jelly Fish,Jumbo Drum,Uttar Pradesh,Lucknow,North,India,12-01-2011,12-01-2011,-500.6376,4,281.88
High,0.1,172.99,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Tamil Nadu,Tenkasi,South,India,13-01-2011,15-01-2011,1442.031,13,2089.9
High,0.0001,1.48,0.7,Regular Air,Personel Usage,Processed Meat,Tuna,Wrap Bag,Madhya Pradesh,Shahdol,West,India,14-01-2011,15-01-2011,8.9908,12,18.83
High,0.02,6.48,8.19,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Satara,West,India,15-01-2011,15-01-2011,64.026,3,22.46
High,0.09,5.8,5.59,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Andhra Pradesh,Ongole,South,India,16-01-2011,17-01-2011,-332.458,7,40.67
High,0.04,10.35,0.99,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Andhra Pradesh,Ongole,South,India,16-01-2011,17-01-2011,-87.122,3,30.7
Not Specified,0.01,200.98,23.76,Delivery Truck,Restaurant Chain,Preserved Food,Sundried Tomatoes,Jumbo Drum,Tamil Nadu,Tiruppur,South,India,18-01-2011,20-01-2011,-99.1504,1,220.83
High,0.07,142.86,19.99,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Madhya Pradesh,Rewa,West,India,19-01-2011,22-01-2011,-139.744,1,155.51
Low,0.06,85.99,0.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Wrap Bag,Kerala,Kottayam,South,India,23-01-2011,01-02-2011,-13.2308,3,220.55
Low,0.04,58.14,36.61,Delivery Truck,Personel Usage,Preserved Food,Pickle,Jumbo Box,Telangana,Karimnagar,South,India,26-01-2011,02-02-2011,-25.942,2,121.9
High,0.02,6.3,0.5,Express Air,Personel Usage,Processed Meat,Oysters (Clam),Small Box,West Bengal,Raiganj,East,India,28-01-2011,30-01-2011,-37.716,8,54.13
High,0.01,67.28,19.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Tamil Nadu,Vellore,South,India,29-01-2011,31-01-2011,96.678,12,804.18
High,0.08,42.98,4.62,Express Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Rajasthan,Alwar,West,India,29-01-2011,31-01-2011,1223.646,4,172.76
Not Specified,0.08,65.99,3.9,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Madhya Pradesh,Damoh,West,India,30-01-2011,01-02-2011,-120.52304,3,164.1
Medium,0.03,39.98,4,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Gujarat,Bantva,West,India,31-01-2011,02-02-2011,67.3968,9,350.03
High,0.09,2.18,1.38,Regular Air,Stand Alone Restaurants,Processed Meat,Tuna,Wrap Bag,Gujarat,Bantva,West,India,31-01-2011,01-02-2011,-12.4744,9,19.63
High,0.04,39.98,9.83,Regular Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,Haryana,Ambala,North,India,31-01-2011,02-02-2011,-184.282,6,242.18
Low,0.04,30.98,6.5,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Ghaziabad,North,India,01-02-2011,03-02-2011,43.72,31,983.78
High,0.08,19.98,8.68,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Bihar,Jhanjharpur,North,India,02-02-2011,06-02-2011,-242.41,6,115.3
High,0.03,7.08,2.35,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Bihar,Jhanjharpur,North,India,02-02-2011,02-02-2011,-166.628,9,64.9
High,0.02,5.78,4.96,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,West Bengal,Bishnupur,East,India,02-02-2011,03-02-2011,-19.04,3,19.25
High,0.07,3.28,3.97,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,West Bengal,Bishnupur,East,India,02-02-2011,03-02-2011,-92.16,9,29.6
Not Specified,0.1,296.18,54.12,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,West Bengal,Bishnupur,East,India,02-02-2011,03-02-2011,-461.45,6,1709.45
High,0.08,5.28,5.57,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,04-02-2011,04-02-2011,-121.91,48,257.39
Not Specified,0.03,19.04,6.38,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Box,Andhra Pradesh,Ongole,South,India,04-02-2011,05-02-2011,-1084.846963,6,118.99
High,0.06,59.76,9.71,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Andhra Pradesh,Ongole,South,India,04-02-2011,05-02-2011,51.408,7,411.38
Medium,0.1,194.3,11.54,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Large Box,Bihar,Gopalganj,North,India,05-02-2011,05-02-2011,511.6005,4,741.45
Low,0.03,180.98,30,Delivery Truck,Stand Alone Restaurants,Preserved Food,Sundried Tomatoes,Jumbo Drum,Karnataka,Kolar,South,India,06-02-2011,06-02-2011,605.44,7,1334.94
High,0.04,12.53,7.17,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,West Bengal,Krishnanagar,East,India,08-02-2011,08-02-2011,17.562,9,116.5
Critical,0.06,105.29,10.12,Express Air,Hotels / Hospitals,Preserved Food,Marmalade,Large Box,West Bengal,Krishnanagar,East,India,08-02-2011,10-02-2011,-1602.538,6,607.27
High,0.08,11.19,5.03,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,09-02-2011,10-02-2011,-12.03,4,47.03
High,0.06,4.13,6.89,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Assam,Abhayapuri,East,India,10-02-2011,12-02-2011,-14.29,1,6.49
High,0.03,4.71,0.7,Regular Air,Restaurant Chain,Processed Meat,Tuna,Wrap Bag,Maharashtra,Latur,West,India,10-02-2011,10-02-2011,616.578,1,5.63
High,0.06,3.08,0.99,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,Punjab,Amritsar,West,India,10-02-2011,15-02-2011,45.852,1,3.3
High,0.09,419.19,19.99,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Punjab,Amritsar,West,India,10-02-2011,15-02-2011,1208.892,10,4119.8
High,0.05,2.88,0.7,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Gujarat,Bhavnagar,West,India,11-02-2011,12-02-2011,0.35,3,8.47
High,0.08,10.01,1.99,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Madhya Pradesh,Bhopal,West,India,11-02-2011,11-02-2011,-7.23,2,20.39
High,0.08,51.98,10.17,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Madhya Pradesh,Bhopal,West,India,11-02-2011,12-02-2011,351.4791,10,509.39
High,0.05,64.98,6.88,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Orissa,Cuttack,East,India,11-02-2011,13-02-2011,150.04,9,562.96
High,0.05,138.75,52.42,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Orissa,Cuttack,East,India,11-02-2011,12-02-2011,-556.25,7,1010.62
High,0.1,28.15,6.17,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Small Pack,Maharashtra,Raver,West,India,11-02-2011,12-02-2011,19.56,4,106.84
High,0.0001,9.11,2.15,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Wrap Bag,Tamil Nadu,Pollachi,South,India,11-02-2011,18-02-2011,13.5723,2,19.67
Low,0.0001,30.73,4,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Maharashtra,Ramtek,West,India,12-02-2011,19-02-2011,-26.83,5,159.26
High,0.06,2.88,0.5,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Madhya Pradesh,Rewa,West,India,15-02-2011,22-02-2011,32.7,31,86.1
High,0.08,12.44,6.27,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Medium Box,Madhya Pradesh,Rewa,West,India,15-02-2011,20-02-2011,-60.79,25,298.11
High,0.05,3.74,4.69,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Rajasthan,Jaipur,West,India,19-02-2011,20-02-2011,-71.6772,1,5.29
High,0.0001,37.7,2.99,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Rajasthan,Nagaur,West,India,20-02-2011,22-02-2011,218.5092,8,316.68
High,0.04,2.94,0.7,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Orissa,Bhubaneshwar,East,India,20-02-2011,24-02-2011,-28.798,4,12.14
High,0.05,4.98,4.86,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Gujarat,Anand,West,India,22-02-2011,23-02-2011,3.25,1,19.96
High,0.03,3.57,4.17,Regular Air,Personel Usage,Processed Meat,Foie Gras,Small Pack,Gujarat,Anand,West,India,22-02-2011,24-02-2011,-115.48,10,36.34
High,0.06,3.28,3.97,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Gujarat,Anand,West,India,22-02-2011,24-02-2011,-57.84,5,16.82
Medium,0.02,30.97,4,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Assam,Kokrajhar,East,India,22-02-2011,24-02-2011,112.78,12,383.44
High,0.01,9.99,4.78,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Karnataka,Mysore,South,India,23-02-2011,25-02-2011,-1641.85,10,106.99
High,0.02,12.88,4.59,Express Air,Restaurant Chain,Processed Meat,Pacific Squid,Wrap Bag,Karnataka,Mysore,South,India,23-02-2011,02-03-2011,-136.556,8,104.25
High,0.0001,6.48,7.86,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,West Bengal,Krishnanagar,East,India,24-02-2011,25-02-2011,1896.378,7,47.48
High,0.04,37.44,4.27,Express Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,West Bengal,Krishnanagar,East,India,24-02-2011,25-02-2011,-6.37,1,37.3
High,0.03,4.89,6.07,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Andhra Pradesh,Nellore,South,India,24-02-2011,26-02-2011,-132.2615,9,45.49
High,0.03,12.21,4.81,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Punjab,Faridkot,West,India,25-02-2011,27-02-2011,-122.276,8,95.95
Low,0.07,70.98,59.81,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Madhya Pradesh,Rewa,West,India,26-02-2011,26-02-2011,-1701.96,48,3355.1
Low,0.06,82.99,5.5,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Rewa,West,India,26-02-2011,03-03-2011,1021.07,34,2864.55
High,0.02,1.95,1.63,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Madhya Pradesh,Rewa,West,India,26-02-2011,03-03-2011,-16.63,31,65.61
High,0.08,7.1,6.05,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Andhra Pradesh,Anantapur,South,India,27-02-2011,27-02-2011,415.8378,5,36.54
High,0.03,105.98,13.99,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Medium Box,Bihar,Katihar,North,India,27-02-2011,01-03-2011,-155.96,8,834.24
High,0.05,22.84,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,01-03-2011,02-03-2011,20.09,8,180.79
High,0.05,22.84,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Chhattisgarh,Bilaspur,North,India,01-03-2011,02-03-2011,-171.8997,2,45.2
High,0.09,18.97,9.54,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Bihar,Madhubani,North,India,02-03-2011,03-03-2011,-24.74,1,20.96
High,0.09,10.9,7.46,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Haryana,Gurgaon,North,India,02-03-2011,04-03-2011,-57.848,5,51.37
High,0.1,34.58,8.99,Regular Air,Personel Usage,Processed Meat,Foie Gras,Small Pack,Bihar,Munger,North,India,04-03-2011,06-03-2011,-9.32,4,129.38
High,0.07,4.98,7.44,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Telangana,Mahbubnagar,South,India,09-03-2011,09-03-2011,64.188,10,48.73
High,0.07,10.23,4.68,Regular Air,Restaurant Chain,Processed Meat,Pacific Squid,Small Pack,Telangana,Mahbubnagar,South,India,09-03-2011,10-03-2011,128.172,6,60.07
Medium,0.08,20.99,0.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,Telangana,Mahbubnagar,South,India,09-03-2011,11-03-2011,189.198,12,210.76
High,0.0001,5.88,3.04,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Bihar,Nawada,North,India,10-03-2011,11-03-2011,-1323.7812,12,76.95
High,0.09,55.99,2.5,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Pack,Maharashtra,Raver,West,India,11-03-2011,13-03-2011,-124.096,9,390.31
Not Specified,0.1,125.99,8.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Shahjahanpur,North,India,12-03-2011,13-03-2011,-5.656,5,520.47
Not Specified,0.0001,125.99,8.08,Express Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Moradabad,North,India,12-03-2011,13-03-2011,73.668,3,330.89
Medium,0.1,135.99,28.63,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Tamil Nadu,Dindigul,South,India,13-03-2011,15-03-2011,-357.65,4,506.51
Critical,0.08,95.98,58.2,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Sambhal,North,India,13-03-2011,14-03-2011,-46.354,7,638.84
Low,0.01,7.59,4,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Wrap Bag,Orissa,Bargarh,East,India,13-03-2011,20-03-2011,-31.024,12,92.99
Not Specified,0.02,99.99,19.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Jaunpur,North,India,15-03-2011,16-03-2011,-119.92,3,299.97
High,0.04,3.28,4.2,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Jaunpur,North,India,15-03-2011,16-03-2011,-31.24,3,10.71
High,0.09,6.48,5.94,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Andhra Pradesh,Amalapuram,South,India,17-03-2011,19-03-2011,-257.824,2,13.73
High,0.02,15.04,1.97,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Wrap Bag,Uttar Pradesh,Baghpat,North,India,19-03-2011,21-03-2011,143.23,22,345.69
Medium,0.02,218.75,69.64,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,West Bengal,Ranaghat,East,India,20-03-2011,20-03-2011,-1402.68,12,2615.64
High,0.05,8.85,5.6,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,21-03-2011,22-03-2011,-9.568,18,167.53
Critical,0.1,20.95,5.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Karnataka,Bellary,South,India,22-03-2011,24-03-2011,-71.55,9,184.77
High,0.03,4.98,6.07,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Baghpat,North,India,25-03-2011,28-03-2011,-102.36,8,40.5
High,0.1,3.48,49,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Large Box,Tamil Nadu,Madurai,South,India,26-03-2011,31-03-2011,-1115.4682,1,12.99
High,0.07,48.91,35,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Madhya Pradesh,Rewa,West,India,27-03-2011,27-03-2011,-1231.87,42,2040.95
High,0.0001,2.08,1.49,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Tamil Nadu,Coimbatore,South,India,30-03-2011,03-04-2011,-203.14,10,22.01
Low,0.1,25.98,14.36,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Tamil Nadu,Coimbatore,South,India,30-03-2011,01-04-2011,85.824,8,200
Low,0.04,83.1,6.13,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Haryana,Ambala,North,India,30-03-2011,03-04-2011,179.0802,12,995.61
Low,0.05,124.49,51.94,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Haryana,Ambala,North,India,30-03-2011,06-04-2011,-17.28342,8,1006.42
Not Specified,0.05,115.99,56.14,Delivery Truck,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Jumbo Drum,West Bengal,Diamond Harbour,East,India,31-03-2011,02-04-2011,-44.5179,6,714.29
High,0.06,24.95,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,01-04-2011,02-04-2011,270.2915,34,800.39
Low,0.01,550.98,45.7,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,02-04-2011,07-04-2011,-163.2,3,1358.78
Low,0.03,150.98,66.27,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Madhya Pradesh,Khandwa,West,India,03-04-2011,03-04-2011,-1061.68,12,1774.7
High,0.03,10.14,2.27,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Bihar,Jhanjharpur,North,India,04-04-2011,11-04-2011,32.5285,17,169.48
High,0.08,4.38,6.21,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Uttar Pradesh,Allahabad,North,India,04-04-2011,05-04-2011,-127.006,7,30.27
High,0.08,64.98,6.88,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Allahabad,North,India,04-04-2011,05-04-2011,379.11,12,776.45
High,0.06,6.48,6.35,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Karnataka,Bellary,South,India,07-04-2011,08-04-2011,-27.78,2,14.2
Not Specified,0.05,150.98,13.99,Regular Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Medium Box,Rajasthan,Jodhpur,West,India,08-04-2011,09-04-2011,-422.6684,1,150.6
High,0.02,11.66,7.95,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Small Pack,Punjab,Bathinda,West,India,08-04-2011,09-04-2011,-78.81,5,59.69
High,0.04,12.98,3.14,Regular Air,Stand Alone Restaurants,Processed Meat,Pacific Squid,Small Pack,Punjab,Bathinda,West,India,08-04-2011,09-04-2011,12.82,5,64.34
High,0.0001,6.48,6.65,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Bihar,Ara,North,India,10-04-2011,12-04-2011,-84.33,8,54.02
High,0.09,13.48,4.51,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Bihar,Ara,North,India,10-04-2011,14-04-2011,-24.44,7,87.9
Low,0.09,115.99,5.92,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Bihar,Ara,North,India,10-04-2011,12-04-2011,-182.974,3,274.54
High,0.08,3.36,6.27,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Maharashtra,Bhiwandi,West,India,10-04-2011,13-04-2011,-64.442,1,5.21
High,0.0001,59.78,10.29,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Maharashtra,Bhiwandi,West,India,10-04-2011,11-04-2011,7.098,7,437.77
Medium,0.04,12.22,2.85,Express Air,Personel Usage,Preserved Food,Marmalade,Small Pack,Maharashtra,Bhiwandi,West,India,10-04-2011,11-04-2011,76.866,5,62.6
High,0.04,1.68,1.57,Express Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Karnataka,Bellary,South,India,10-04-2011,12-04-2011,-37.76,11,19.37
High,0.09,9.68,2.03,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Uttar Pradesh,Baghpat,North,India,10-04-2011,12-04-2011,64.7772,10,93.88
